Date,Open,High,Low,Close,Adj Close,Volume
2020-07-16,32.500000,36.119999,31.770000,35.639999,35.639999,18160300
2020-07-17,36.650002,36.880001,34.590000,35.360001,35.360001,11155100
2020-07-20,35.419998,36.750000,34.759998,35.410000,35.410000,8417900
2020-07-21,36.299999,38.840000,35.950001,37.549999,37.549999,15166900
2020-07-22,37.799999,38.029999,35.840000,37.750000,37.750000,9975100
2020-07-23,37.662998,38.349998,35.410999,36.209999,36.209999,9840200
2020-07-24,35.305000,37.680000,34.180000,37.549999,37.549999,10971300
2020-07-27,37.549999,38.040001,32.389999,35.115002,35.115002,27022200
2020-07-28,35.970001,36.099998,34.299999,34.630001,34.630001,11493800
2020-07-29,35.000000,36.240002,33.570000,35.889999,35.889999,11040700
2020-07-30,34.637001,35.650002,34.459999,34.790001,34.790001,7599900
2020-07-31,35.459999,35.770000,32.279999,33.375000,33.375000,14494200
2020-08-03,32.840000,33.290001,31.650000,32.950001,32.950001,8513200
2020-08-04,32.380001,33.840000,32.299999,33.060001,33.060001,4402900
2020-08-05,33.290001,33.700001,32.110001,32.549999,32.549999,4611300
2020-08-06,32.369999,34.270000,32.369999,33.650002,33.650002,6755100
2020-08-07,34.450001,35.419998,33.509998,34.090000,34.090000,8890500
2020-08-10,34.049999,34.099998,30.510000,31.610001,31.610001,16120100
2020-08-11,32.099998,33.227001,31.500000,32.040001,32.040001,9547200
2020-08-12,32.470001,34.080002,31.910000,33.740002,33.740002,8417200
2020-08-13,34.799999,36.169998,34.159000,36.049999,36.049999,12792800
2020-08-14,34.004002,35.500000,32.419998,33.910000,33.910000,24298300
2020-08-17,34.160000,35.730000,33.459999,34.680000,34.680000,7929900
2020-08-18,35.000000,37.610001,34.869999,37.209999,37.209999,12503400
2020-08-19,37.009998,38.169998,36.220001,36.270000,36.270000,8393100
2020-08-20,35.500000,37.020000,35.099998,36.320000,36.320000,6016000
2020-08-21,36.009998,36.595001,34.645000,35.150002,35.150002,6439000
2020-08-24,35.709999,35.900002,34.279999,35.810001,35.810001,7599300
2020-08-25,35.880001,40.060001,35.430000,39.060001,39.060001,26762600
2020-08-26,39.590000,40.720001,38.150002,38.860001,38.860001,16781700
2020-08-27,37.189999,40.439999,36.509998,39.060001,39.060001,16452900
2020-08-28,37.990002,38.610001,36.189999,36.320000,36.320000,18584400
2020-08-31,36.520000,37.340000,34.849998,35.360001,35.360001,8565800
2020-09-01,35.400002,37.180000,35.220001,36.930000,36.930000,7733100
2020-09-02,41.070000,41.293999,37.110001,39.900002,39.900002,50147500
2020-09-03,39.830002,40.889999,37.200001,38.270000,38.270000,17915500
2020-09-04,37.939999,38.970001,34.470001,37.000000,37.000000,12715300
2020-09-08,35.599998,38.169998,35.520000,37.009998,37.009998,8492500
2020-09-09,38.299999,40.810001,37.099998,40.380001,40.380001,17851900
2020-09-10,41.075001,44.080002,40.549999,42.540001,42.540001,29967000
2020-09-11,43.200001,43.880001,40.299999,41.459999,41.459999,14763000
2020-09-14,41.970001,49.310001,40.330002,48.619999,48.619999,50201000
2020-09-15,47.790001,49.880001,46.511002,48.209999,48.209999,34987900
2020-09-16,49.910000,53.254002,49.500000,51.029999,51.029999,49445400
2020-09-17,49.099998,54.320000,48.049999,53.110001,53.110001,48095500
2020-09-18,53.250000,55.700001,52.599998,55.389999,55.389999,36566600
2020-09-21,53.320000,53.980000,49.099998,51.490002,51.490002,30988000
2020-09-22,52.299999,54.759998,51.669998,53.939999,53.939999,19666000
2020-09-23,53.944000,54.958000,50.009998,50.119999,50.119999,14877600
2020-09-24,49.400002,51.849998,47.101002,50.570000,50.570000,21008500
2020-09-25,53.470001,53.590000,51.400002,53.189999,53.189999,21776800
2020-09-28,55.250000,58.389999,53.849998,56.889999,56.889999,28655800
2020-09-29,57.320000,59.450001,55.599998,55.740002,55.740002,32564100
2020-09-30,56.200001,59.119999,55.799999,58.840000,58.840000,19002800
2020-10-01,61.779999,62.730000,59.820000,61.830002,61.830002,24122700
2020-10-02,58.990002,64.190002,58.849998,63.779999,63.779999,20483900
2020-10-05,61.340000,62.450001,58.599998,60.549999,60.549999,34511900
2020-10-06,59.950001,60.360001,55.799999,56.779999,56.779999,27202700
2020-10-07,52.860001,54.880001,52.200001,53.330002,53.330002,65474600
2020-10-08,54.158001,54.779999,50.610001,51.130001,51.130001,37242500
2020-10-09,50.750000,51.700001,48.259998,48.820000,48.820000,29572800
2020-10-12,51.009998,52.520000,50.330002,50.599998,50.599998,31713500
2020-10-13,50.849998,51.400002,49.525002,51.180000,51.180000,19134200
2020-10-14,51.509998,52.220001,47.500000,47.560001,47.560001,27246700
2020-10-15,47.520000,48.470001,44.799999,45.000000,45.000000,36048200
2020-10-16,45.500000,46.529999,43.500000,44.340000,44.340000,39295700
2020-10-19,44.430000,44.970001,41.700001,44.580002,44.580002,49951400
2020-10-20,43.009998,44.970001,42.299999,42.529999,42.529999,70239700
2020-10-21,42.910000,43.820000,41.250000,41.500000,41.500000,34853900
2020-10-22,41.849998,43.070000,40.430000,43.000000,43.000000,37578200
2020-10-23,43.117001,43.490002,41.759998,42.740002,42.740002,23078900
2020-10-26,42.150002,42.639999,39.349998,39.689999,39.689999,32577900
2020-10-27,40.540001,40.689999,37.900002,38.700001,38.700001,29019700
2020-10-28,37.599998,40.009998,37.119999,38.150002,38.150002,27173700
2020-10-29,39.099998,39.349998,37.270000,37.369999,37.369999,19740600
2020-10-30,37.430000,38.180000,34.900002,35.400002,35.400002,24856800
2020-11-02,35.570000,36.669998,35.020000,35.720001,35.720001,18077400
2020-11-03,36.330002,37.759998,35.840000,37.470001,37.470001,19587600
2020-11-04,39.430000,40.790001,38.330002,39.459999,39.459999,28877500
2020-11-05,41.270000,43.599998,40.820000,43.029999,43.029999,31924100
2020-11-06,42.230000,42.660000,41.169998,42.320000,42.320000,18198500
2020-11-09,44.169998,44.490002,41.470001,41.500000,41.500000,21113400
2020-11-10,40.790001,41.090000,38.439999,40.360001,40.360001,17118800
2020-11-11,40.770000,41.867001,39.750000,41.639999,41.639999,12613500
2020-11-12,40.939999,42.090000,40.860001,41.250000,41.250000,14407200
2020-11-13,45.400002,45.500000,42.220001,42.840000,42.840000,50356100
2020-11-16,42.400002,42.820000,40.810001,42.730000,42.730000,15999600
2020-11-17,44.200001,46.830002,43.250000,46.610001,46.610001,33970500
2020-11-18,47.099998,49.060001,46.630001,47.680000,47.680000,35497900
2020-11-19,48.750000,50.020000,48.139999,49.320000,49.320000,25892100
2020-11-20,49.790001,50.049999,47.389999,48.230000,48.230000,25378700
2020-11-23,48.500000,48.880001,46.900002,48.029999,48.029999,18142500
2020-11-24,48.346001,49.040001,46.610001,47.889999,47.889999,17707600
2020-11-25,47.790001,51.080002,47.770000,50.230000,50.230000,23223100
2020-11-27,51.820000,52.980000,50.707001,52.750000,52.750000,15833100
2020-11-30,53.500000,53.720001,49.080002,52.360001,52.360001,24757400
2020-12-01,52.355999,52.660000,49.939999,50.779999,50.779999,15613500
2020-12-02,49.360001,51.490002,48.419998,51.099998,51.099998,11925100
